LFQ intensity M10/S1	LFQ intensity M10/S2	LFQ intensity M10/S3	LFQ intensity M10/S5	LFQ intensity M11/G1	LFQ intensity M11/G2	LFQ intensity M11/G4	LFQ intensity M11/G5	LFQ intensity M12/S1	LFQ intensity M12/S4	LFQ intensity M13/G1	LFQ intensity M13/G2	LFQ intensity M13/G3	LFQ intensity M13/G4	LFQ intensity M13/G5	LFQ intensity M14/S3	LFQ intensity M14/S4	LFQ intensity M14/S5	LFQ intensity M15/S1	LFQ intensity M15/S10	LFQ intensity M15/S11	LFQ intensity M15/S2	LFQ intensity M15/S3	LFQ intensity M15/S4	LFQ intensity M15/S5	LFQ intensity M15/S6	LFQ intensity M15/S7	LFQ intensity M15/S8	LFQ intensity M15/S9	LFQ intensity M16/G1	LFQ intensity M16/G2	LFQ intensity M16/G3	LFQ intensity M16/G4	LFQ intensity M16/G5	LFQ intensity M17/G1	LFQ intensity M17/G2	LFQ intensity M17/G3	LFQ intensity M17/G4	LFQ intensity M17/G5	LFQ intensity M18/S1	LFQ intensity M18/S2	LFQ intensity M18/S3	LFQ intensity M18/S4	LFQ intensity M19/S1	LFQ intensity M19/S2	LFQ intensity M19/S3	LFQ intensity M19/S4	LFQ intensity M19/S5	LFQ intensity M19/S6	LFQ intensity M20/G1	LFQ intensity M20/G2	LFQ intensity M20/G3	LFQ intensity M20/G4	LFQ intensity M20/G5	LFQ intensity M20/G6	LFQ intensity M21/G2	LFQ intensity M21/G3	LFQ intensity M21/G4	LFQ intensity M23/G1	LFQ intensity M23/G10	LFQ intensity M23/G2	LFQ intensity M23/G3	LFQ intensity M23/G4	LFQ intensity M23/G5	LFQ intensity M23/G6	LFQ intensity M23/G7	LFQ intensity M23/G8	LFQ intensity M23/G9	LFQ intensity M24/S3	LFQ intensity M24/S4	LFQ intensity M24/S8	LFQ intensity M25/G1	LFQ intensity M25/G2	LFQ intensity M25/G3	LFQ intensity M25/G5	LFQ intensity M25/G6	LFQ intensity M25/G7	LFQ intensity M26/S1	LFQ intensity M26/S2	LFQ intensity M26/S3	LFQ intensity M26/S4	LFQ intensity M27/S1	LFQ intensity M27/S2	LFQ intensity M27/S3	LFQ intensity M27/S4	LFQ intensity M27/S5	LFQ intensity M27/S6	LFQ intensity M29/S1	LFQ intensity M29/S2	LFQ intensity M29/S3	LFQ intensity M29/S4	LFQ intensity M4/G1	LFQ intensity M4/G2	LFQ intensity M4/G3	LFQ intensity M4/G4	LFQ intensity M5/S1	LFQ intensity M5/S2	LFQ intensity M5/S3	LFQ intensity M5/S4	LFQ intensity M5/S5	LFQ intensity M5/S6	LFQ intensity M6/G1	LFQ intensity M6/G2	LFQ intensity M6/G3	LFQ intensity M6/G4	LFQ intensity M6/G5	LFQ intensity M6/G6	LFQ intensity M6/G7	LFQ intensity M6/G8	LFQ intensity M6/G9	LFQ intensity M7/S1	LFQ intensity M7/S3	LFQ intensity M7/S4	LFQ intensity M7/S5	LFQ intensity M7/S6	LFQ intensity M8/G1	LFQ intensity M8/G2	LFQ intensity M8/G3	LFQ intensity M8/G4	LFQ intensity M8/G5	LFQ intensity M8/G6	LFQ intensity M9/S1	LFQ intensity M9/S10	LFQ intensity M9/S11	LFQ intensity M9/S12	LFQ intensity M9/S3	LFQ intensity M9/S4	LFQ intensity M9/S6	LFQ intensity M9/S7	LFQ intensity M9/S8	LFQ intensity M9/S9	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names
8534500000	3291500000	6997400000	7430100000	3357100000	6846000000	2297600000	3687100000	7961600000	4843000000	7873200000	10244000000	9171700000	4886100000	7511800000	10685000000	7037500000	7568100000	6612100000	6186300000	7912200000	8148500000	7958000000	2955100000	5472200000	6732200000	6291300000	6961600000	9013200000	5818200000	6114900000	6493600000	3004400000	7749200000	4734700000	5088300000	3451800000	6195300000	5498100000	4201300000	2784100000	3056800000	3648900000	6097700000	7051800000	7543300000	5269200000	8548100000	5089300000	6167300000	5420200000	5039900000	7503300000	7237400000	6365000000	6558200000	3518400000	5278700000	4189300000	4745200000	5487300000	7648400000	4797800000	7657800000	9093800000	3880900000	5861800000	6658700000	5155500000	7017700000	2437400000	5677600000	5788600000	8345700000	5698800000	5773100000	7037600000	3828200000	6704800000	8636600000	7379100000	1322200000	7059700000	7189700000	6024200000	6894900000	7922000000	4322000000	2923100000	4844800000	3603900000	5505700000	8565500000	7515300000	8825500000	6234500000	6720700000	6414900000	8922900000	8277200000	5202200000	4269700000	4858400000	8919600000	6276400000	6755400000	6897400000	7116500000	6521700000	7221600000	9010700000	4845900000	3189600000	5758600000	750540000	5989500000	6369100000	4710700000	8275500000	7565800000	4108500000	6290100000	5405300000	4851200000	5639900000	4552000000	7183100000	4352300000	6993000000	6596900000	11020000000	404	404	212	90.5	90.5	46.2	604.25	0	323.31	389000000000	23872	E9Q616;A0PJF4;Q61484;Q8VDN3;Q8BKS2;A0JLR7;Q8CGE7;Q6UIL4;Q8BRB8;Q3UYW8;G5E8K8;Q8R2L7	E9Q616		Ahnak
3528300000	2512700000	1383200000	944400000	1454100000	2273700000	2408600000	2045100000	2046300000	2986400000	1508700000	1792800000	1221300000	2120800000	2493800000	1271900000	1306200000	1409600000	1178100000	2049600000	927110000	1860300000	1720700000	2597000000	1261600000	1069200000	1543000000	2479900000	1901200000	1731900000	2287600000	1494700000	2125200000	1958800000	2212700000	2061700000	1468400000	2161200000	2069700000	957480000	1481500000	1957100000	1220400000	2575900000	2221700000	1809000000	2666700000	1134400000	1537600000	1954700000	1924300000	2136600000	2064700000	2044200000	2273000000	3135200000	2722700000	3450500000	3891600000	1935900000	2635000000	735610000	4522200000	1439200000	1342900000	1603900000	3169700000	2084100000	2562500000	1102700000	2276000000	1945700000	2267100000	1876700000	2314800000	2439000000	2557100000	2319300000	1156100000	1944800000	1903800000	1872500000	1846700000	2829600000	1532000000	2375000000	1547400000	1388300000	1307100000	1439300000	1601000000	1974700000	2288500000	2637600000	1468400000	3037000000	1559200000	1444200000	1564100000	2057300000	1569700000	1132500000	1761900000	1539500000	1845700000	2067600000	2294300000	1791600000	2071400000	1820600000	1852600000	1616800000	1469400000	2753400000	1871100000	2684100000	2851600000	783140000	3415100000	1539800000	2496400000	1892700000	2758500000	1630500000	2400400000	2160100000	1250400000	1301500000	1624300000	1394600000	1771700000	182	182	177	77.9	77.9	76.6	277.82	0	323.31	123000000000	10225	Q80X90;Q3T9V9	Q80X90	Filamin-B	Flnb
3151600000	3067900000	1199200000	1315300000	870030000	2249100000	1468400000	1516000000	2286600000	4495900000	1697600000	3311200000	2467300000	2712300000	4290900000	1938200000	2412200000	2352200000	3002700000	4613400000	1451400000	2791500000	1418800000	1753500000	1591700000	1567300000	3154400000	6800700000	3780100000	2402100000	2969000000	2714700000	3148700000	2544600000	3952000000	3149800000	2088200000	4396800000	3369400000	1178000000	1402700000	1660100000	1338800000	3695100000	1920500000	2815200000	2600700000	2164400000	4565700000	4156900000	3188700000	3247100000	3551100000	4719600000	4029300000	2929900000	2485500000	3548900000	2036800000	1394600000	2093800000	1417100000	2565600000	3267800000	2851100000	1797100000	5251000000	3072000000	2402100000	2479900000	1505900000	1771100000	1835900000	3450100000	1702500000	3366900000	2043600000	3538400000	1591500000	2259000000	2468800000	1331500000	1875400000	3040400000	1756100000	2237900000	2033700000	1370300000	1370200000	1405200000	1424900000	2959000000	4659900000	4016700000	2651400000	3565800000	2029700000	1006000000	2125000000	2734300000	1613700000	982550000	1971800000	2947200000	3169500000	2866000000	3135600000	1992600000	3363500000	2535600000	1977000000	2215300000	1260800000	3593900000	2139100000	2824100000	2231300000	1640500000	6657600000	2693900000	4538200000	3063600000	2754200000	1737800000	3932400000	2563300000	2192000000	2419500000	3182500000	2370500000	2590900000	177	174	170	71.9	71.4	70.4	280.5	0	323.31	163000000000	11205	B7FAU9;Q8BTM8;B7FAV1;B9EKP5;Q6KAM8;Q3U7N9;F6XC15;Q4FZG4;J3JS91;I7HPX4;F6Z2C0;F7AVL7;Q9JJ37	B7FAU9;Q8BTM8;B7FAV1;B9EKP5;Q6KAM8	Filamin-A	Flna
377620000	386550000	32621000	18307000	135370000	199440000	178140000	170100000	178790000	582120000	238030000	346920000	307680000	708870000	337520000	215750000	178460000	224950000	285060000	377710000	215750000	272670000	261110000	310170000	136490000	141980000	123660000	381890000	232730000	154830000	185570000	143910000	349800000	175390000	401890000	172270000	637560000	347320000	277210000	232210000	142360000	87351000	445760000	230370000	209210000	222690000	180630000	51109000	211040000	271310000	328100000	479620000	332750000	357200000	331850000	813390000	352030000	619270000	473620000	181860000	417100000	182770000	465800000	318100000	274680000	161340000	370190000	208680000	103800000	334260000	194790000	253500000	395710000	288480000	260660000	429650000	190430000	371570000	75038000	168730000	184270000	709480000	214490000	284350000	111930000	240310000	185660000	126760000	140610000	124440000	208600000	375360000	316990000	314940000	240900000	243020000	151930000	37252000	187650000	164920000	75393000	129460000	199250000	179520000	204530000	298490000	215450000	176880000	423250000	172340000	181580000	151160000	198190000	335400000	206490000	190770000	173740000	61837000	666290000	206400000	266080000	214140000	363340000	147260000	234730000	268170000	123490000	333470000	230230000	312360000	154880000	160	160	156	41.2	41.2	40.5	513.75	0	323.31	15727000000	2009	Q6S388;Q6S392;Q6S393;Q6S387;Q6S385;Q9QXS1;E9Q3W4;Q6S390;F6R059;A0A0R4J223;Q05CR3;Q8C8S5;E9Q9J6;A0A0R4J221;Q499F9;A0A0R4J218;E9PW24	Q6S388;Q6S392;Q6S393;Q6S387;Q6S385;Q9QXS1;E9Q3W4;Q6S390	Plectin	Plec
4017500	2525500	7855900	1959200	5516400	117810000	1237600	3744100	38187000	2365300	633710000	13312000	65899000	10619000000	5019000	74895000	9592500	2497900	65060000	4292200	8541800	32086000	5524700	9610000	2742300	3779900	1367300	7926200	17722000	2635400	3066300	2501500	5013400	4580500	1778600	1349300	144620000	1415500	2937700	2150400	1455200	1860000	2006500	3203200	6104000	1614600	2179100	8109200	6230700	4315400	24569000	205220000	12542000	12839000	2797100	2242600	3979000	30898000	2435800	40291000	16141000	15175000	4147200	11512000	1520800	1231200	1522900	1207300	1774000	235900000	4584700	1337400000	98040000	2459700	10305000	3356300	2043300	1837000	2378200	10370000	1417800	0	4388700	6452800	810090	6715400	107620000	12806000	6532700	11349000	3026800	2358100	7132800	7374300	30902000	2831300	1870500	2670800	6163200	3257300	1838600	1924200	4667900	4001600	2724800	108340000	2470300	3211600	97918000	3208600	2122600	2415600	4514700	4540300	2193200	1258600	1640100	1167300	5535700	7630300	5098800	2258300	54227000	4533000	2133200	1625900	6975100	1092100	2059500	55384000	4893600	257	257	129	47.9	47.9	22.3	828.65	0	323.31	6537400000	561	E9Q1W3;A2AQA9;Q62411;A0A1B0GSF5;Q61953;Q9JL91;A0A1B0GSI0;Q8C3C3;Q8VIK6;REV__Q8K4L4	E9Q1W3;A2AQA9		Neb
1496100000	2227500000	437580000	332580000	670310000	847660000	1078800000	921630000	779530000	2227400000	531480000	922480000	620550000	1043800000	1372800000	857120000	709940000	857660000	670340000	1365200000	724300000	866420000	862100000	1737400000	772590000	902380000	999940000	1430600000	932130000	1348200000	1585200000	953770000	3393600000	1280100000	1750000000	979870000	1617100000	1092100000	1231500000	1470200000	1273600000	1286700000	3292800000	1220800000	866550000	783440000	1045800000	449610000	1035300000	1463200000	1213000000	1509400000	1777000000	1024400000	1257600000	1861400000	1906200000	2497400000	2327600000	825430000	2025400000	716800000	2835100000	720320000	1336800000	2025700000	2142000000	1033100000	937600000	887860000	1104400000	585050000	1871700000	1053800000	1062700000	1386900000	979450000	2228600000	641750000	785940000	829660000	3996500000	1195500000	1323900000	889570000	1078300000	814030000	690340000	1027300000	684690000	985440000	1084900000	1187000000	1188300000	985890000	1316200000	614740000	486200000	684550000	1229100000	850230000	700610000	1513000000	702730000	1073200000	970350000	1154600000	768480000	1614200000	1049300000	817730000	957250000	2279500000	1534600000	2875700000	1702500000	989780000	960110000	3160300000	901380000	1545300000	948240000	1683200000	1031000000	1381100000	1363100000	916450000	2046800000	1717100000	1338500000	570110000	176	175	128	66.8	66.8	51.6	226.37	0	323.31	78031000000	7747	Q8VDD5;Q3UFT0;Q811J9;Q99JJ3;Q7TQJ6;Q8BIE2;Q8BIM8;Q14B05;F2Z494	Q8VDD5;Q3UFT0	Myosin-9	Myh9
1374800000	9721400000	163660000	144610000	134410000	496740000	216640000	295960000	224220000	480380000	80974000	133860000	323510000	149910000	328730000	449640000	257460000	188600000	215330000	449680000	98393000	285380000	97990000	2400800000	245280000	302380000	106000000	305490000	76559000	3660300000	1643100000	1054600000	13118000000	3041700000	500720000	341640000	1644600000	478250000	391760000	543640000	594470000	892380000	4027300000	295370000	219490000	304440000	269500000	21790000	301420000	906310000	2069800000	2010400000	190540000	370290000	347250000	625760000	351030000	744020000	920670000	1114100000	227110000	336850000	712410000	431170000	242700000	11127000000	507480000	178580000	231040000	890200000	2954800000	277360000	388370000	1601400000	211420000	1179500000	511150000	259670000	1747000000	309790000	367580000	13174000000	1272900000	883480000	680420000	168080000	785260000	128300000	490390000	319320000	973250000	791550000	243710000	275910000	225520000	900170000	492470000	97198000	120700000	365690000	118470000	129630000	190500000	61008000	396660000	365290000	783700000	138430000	875930000	168940000	1387600000	1472000000	5268500000	911230000	26666000000	294600000	203180000	222540000	376010000	435190000	188600000	542020000	638630000	429040000	325650000	301930000	506200000	784950000	2591400000	602660000	172510000	115	115	103	67.6	67.6	63.9	186.48	0	323.31	54162000000	3241	P01027;H3BKW9;H3BL60;Q207D2;B5APU1;E1APH6	P01027	Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3
4585700	9682400	5804800	3515700	13935000	1687000	18360000	15525000	14207000	7256000	8481100	10526000	10365000	0	5046700	19754000	11155000	2396500	2730400	1499000	14702000000	1177700	3009100	7052500	7800800	9831400	5868000	19621000	18551000	4366700	2568200	3493000	706500	1379500	5079200	10993000	6669000	8969400	12431000	10949000	66083000	5048500	34012000	6023200	3379700	10427000	18178000	4905900	3106700	12064000	0	5750800	5261900	3024700	2143500	34318000	21037000	113630000	33752000	6676300	48488000	18373000	56587000	3056500	0	32666000	12301000	19064000	20692000	36802000	6761300	591750	40463000	17554000	19745000	54459000	7669300	46815000	41605000	848700	12560000	107240000	32764000	6750600	7351100	25672000	13732000	6008900	2163800	7059200	9771300	1835400	3140300	4873000	11160000	9483900	4948900	14123000	5560800	8015600	8822600	5316000	3412400	5385600	7389800	35295000	11311000	12150000	6439000	3199300	14636000	0	51366000	717680	19246000	4446400	10435000	5301500	13813000	609790	23141000	2253400	20621000	15956000	618150	10086000	14709000	16282000	3067400	3419200	5974400	96	96	96	34.4	34.4	34.4	332.91	0	317.71	5435200000	309	E9Q557;E9PZW0;Q9CV95;Q8BP77	E9Q557;E9PZW0	Desmoplakin	Dsp
4310700000	3730600000	5933900000	2175700000	3552700000	6529800000	2337100000	4319000000	6735700000	5110900000	5990400000	7918800000	5544200000	4337200000	6714800000	6116900000	6536300000	5673300000	5336000000	6034500000	4828600000	7228400000	8120800000	2776800000	3816000000	5862400000	3101800000	4554600000	5961200000	3075300000	3544900000	3403000000	2784500000	3576000000	6008500000	4339500000	5602900000	4395100000	5758700000	6690400000	4150400000	3508300000	6806400000	4179400000	6445500000	5751800000	5730500000	5380200000	5278400000	4690600000	4080200000	5179800000	7595200000	7069300000	6650700000	7632800000	4576000000	5012800000	5494600000	4556000000	5535500000	2910600000	5262900000	6214100000	6198400000	3040800000	5120500000	7628500000	3198200000	5838900000	3611100000	4389900000	3758300000	7482900000	5574900000	5634800000	5023500000	1924300000	4951900000	6195800000	6908400000	4556700000	5638500000	8307800000	3984500000	6352500000	4966800000	3546400000	2934500000	4480600000	5043400000	7327600000	8915400000	8079000000	5727800000	4837800000	4961700000	3292600000	6004600000	5683200000	3906100000	3665600000	5712400000	6867400000	3510400000	5420000000	5007400000	5131200000	6406800000	5982000000	5922800000	4762100000	3348500000	4860700000	2418900000	5893200000	6148900000	2423800000	6569600000	7257300000	3600400000	4398100000	4874500000	4225700000	5095300000	3870700000	5388100000	3715400000	4607000000	5285000000	6104500000	100	100	92	88.3	88.3	75.3	74.237	0	323.31	325000000000	9631	P48678;D3YUF7;Q8BNX5	P48678	Prelamin-A/C;Lamin-A/C	Lmna
557260000	1197300000	209680000	37978000	23299000	368220000	58453000	280920000	363200000	485400000	266480000	509840000	202390000	274570000	438840000	287170000	403820000	466710000	184740000	338630000	158170000	441660000	49623000	379190000	300990000	126910000	122600000	314260000	99857000	265430000	477370000	216310000	1110800000	198850000	845430000	265300000	340930000	496890000	539570000	29084000	0	65726000	53999000	465610000	841510000	272760000	301070000	14645000	20072000	577290000	478660000	483960000	294820000	680810000	607930000	445050000	143210000	441970000	136920000	354600000	461710000	52699000	177600000	245400000	427870000	57822000	490970000	232880000	182150000	220010000	26563000	250830000	662820000	225090000	401060000	643420000	670500000	292920000	97057000	195640000	208040000	48677000	216210000	295520000	138200000	400000000	246780000	238160000	160700000	245470000	176750000	514640000	398880000	353260000	147870000	442010000	244740000	87398000	409070000	383180000	146870000	66242000	589640000	284810000	185710000	305650000	288000000	341070000	888630000	361160000	169780000	102680000	21368000	340830000	63194000	466210000	536090000	96833000	390700000	258590000	286170000	62846000	680420000	188480000	560690000	132430000	99174000	183190000	65630000	475260000	204350000	91	91	91	39.8	39.8	39.8	333.73	0	323.31	19858000000	2336	E9PX70;Q60847;Q3TNZ7;F6WIM8	E9PX70;Q60847	Collagen alpha-1(XII) chain	Col12a1
