No.;ID;short Name;Name;Contrast;Location;Available;Comments;Milled on;Milled as;% ID/g;Relative SD;Weight [mg];Adjusted Weights Weight [mg] PROTEOMIC Center;… µl 85 % MeOH       (6µl MeOH/mg tissue);Protein [µg/µl]
55;QBALE604DP;M4/G1;"M04-Gadovist ; 1";Gadovist;1;YES;With biopsy punch;3/22/17;4;3,0 %;23,4 %;19,2300000000001;5,20000000000009;31,2000000000006;1,40059925634454
71;QBALE605DX;M4/G2;"M04-Gadovist ; 2";Gadovist;2;YES;;3/22/17;4;14,5 %;11,5 %;23,9199999999999;7,80000000000003;46,8000000000002;4,23912494133786
113;QBALE606D7;M4/G3;"M04-Gadovist ; 3";Gadovist;3;YES;;3/22/17;4;11,2 %;26,2 %;25,8999999999998;9,09999999999989;54,5999999999993;4,4578896068734
14;QBALE607DF;M4/G4;"M04-Gadovist ; 4";Gadovist;4;YES;;3/22/17;4;10,6 %;20,6 %;30,77;10,5;62,9999999999997;2,67961445435183
28;QBALE679DC;M5/S1;"M05-Saline ; 1";Saline;1;YES;;3/21/17;3;14,3 %;10,4 %;;9,39999999999985;56,3999999999991;3,51351936753186
24;QBALE680DF;M5/S2;"M05-Saline ; 2";Saline;2;YES;;3/21/17;3;13,6 %;19,9 %;;8,9999999999999;53,9999999999994;2,08180210100718
129;QBALE681DN;M5/S3;"M05-Saline ; 3";Saline;3;YES;;3/21/17;3;19,3 %;13,8 %;;10,6000000000002;63,600000000001;3,05216418179849
84;QBALE682DV;M5/S4;"M05-Saline ; 4";Saline;4;YES;;3/21/17;3;16,6 %;6,6 %;;7,50000000000006;45,0000000000004;1,54896935128696
97;QBALE683D5;M5/S5;"M05-Saline ; 5";Saline;5;YES;;3/21/17;3;16,1 %;12,0 %;;10,3;61,7999999999999;5,51164217898271
2;QBALE684DD;M5/S6;"M05-Saline ; 6";Saline;6;YES;;3/21/17;3;16,3 %;9,1 %;;10,1;60,6;2,90596007364355
8;QBALE608DN;M6/G1;"M06-Gadovist ; 1";Gadovist;1;YES;Biopsy punch;3/24/17;21;9,2 %;10,0 %;25,32;8,50000000000017;51,000000000001;1,98433269557056
93;QBALE609DV;M6/G2;"M06-Gadovist ; 2";Gadovist;2;YES;Biopsy punch;3/24/17;21;4,6 %;44,0 %;21,1400000000002;6,60000000000016;39,600000000001;2,62221580448359
109;QBALE610D0;M6/G3;"M06-Gadovist ; 3";Gadovist;3;YES;;3/24/17;21;12,7 %;16,4 %;22,84;10,4;62,3999999999998;2,44568788130393
